trials,subj_idx,response,reward,traveltime,rt,rwdbin,TotalTime,stress,stai_state,stai_trait,SSC,subID,tt,stress2
867,7,1,0.63333894229937,5,0.52,2,0.165976546431524,2,0.56,0.145454545454545,0.474993448,39862,s,y
868,7,1,0.544776732241512,5,0.53,2,0.205159856057357,2,0.56,0.145454545454545,0.474993448,39862,s,y
869,7,1,0.476611268784897,5,0.431,2,0.244553581591765,2,0.56,0.145454545454545,0.474993448,39862,s,y
870,7,1,0.476820070261431,5,0.863,2,0.282591746030908,2,0.56,0.145454545454545,0.474993448,39862,s,y
871,7,1,0.435087820400589,5,0.89,2,0.32340253504357,2,0.56,0.145454545454545,0.474993448,39862,s,y
872,7,1,0.339869024632105,5,0.531,2,0.364458179200393,2,0.56,0.145454545454545,0.474993448,39862,s,y
873,7,1,0.271183397619829,5,0.736,1,0.403373153634413,2,0.56,0.145454545454545,0.474993448,39862,s,y
874,7,1,0.193728582840051,5,0.001,1,0.443412314370399,2,0.56,0.145454545454545,0.474993448,39862,s,y
875,7,1,0.135094218817246,5,0.646,1,0.479023028677111,2,0.56,0.145454545454545,0.474993448,39862,s,y
876,7,1,0.0719547700410034,5,0.454,1,0.518614871642437,2,0.56,0.145454545454545,0.474993448,39862,s,y
877,7,1,0,5,1.179,0,0.556639853073022,2,0.56,0.145454545454545,0.474993448,39862,s,y
878,7,0,0,5,0.566,0,0.59925231659033,2,0.56,0.145454545454545,0.474993448,39862,s,y
879,7,1,0.913520198310384,5,0.606,3,0,2,0.56,0.145454545454545,0.474993448,39862,s,y
880,7,1,0.882644697349952,5,0.65,3,0.0399391037999224,2,0.56,0.145454545454545,0.474993448,39862,s,y
881,7,1,0.769825892791371,5,1.072,3,0.0801025686128112,2,0.56,0.145454545454545,0.474993448,39862,s,y
882,7,1,0.716492079212223,5,0.532,3,0.122865194993137,2,0.56,0.145454545454545,0.474993448,39862,s,y
883,7,1,0.62661555691217,5,0.478,2,0.162289102021171,2,0.56,0.145454545454545,0.474993448,39862,s,y
884,7,1,0.555387749665951,5,0.498,2,0.201028569533071,2,0.56,0.145454545454545,0.474993448,39862,s,y
885,7,1,0.489124921938544,5,0.516,2,0.240012005159558,2,0.56,0.145454545454545,0.474993448,39862,s,y
886,7,1,0.469068185666157,5,0.53,2,0.279029087941702,2,0.56,0.145454545454545,0.474993448,39862,s,y
887,7,1,0.435734164505632,5,0.882,2,0.318028744965375,2,0.56,0.145454545454545,0.474993448,39862,s,y
888,7,1,0.352106312555954,5,0.549,2,0.361730988031842,2,0.56,0.145454545454545,0.474993448,39862,s,y
889,7,1,0.281295482242308,5,0.518,1,0.401033019694939,2,0.56,0.145454545454545,0.474993448,39862,s,y
890,7,1,0.231047705591128,5,0.522,1,0.442527328711385,2,0.56,0.145454545454545,0.474993448,39862,s,y
891,7,1,0.136972641659068,5,0.58,1,0.481836926361956,2,0.56,0.145454545454545,0.474993448,39862,s,y
892,7,1,0.0498602334721737,5,0.58,1,0.521339231812375,2,0.56,0.145454545454545,0.474993448,39862,s,y
893,7,0,0,5,0.397,0,0.560876138912247,2,0.56,0.145454545454545,0.474993448,39862,s,y
894,7,1,0.92307355879397,5,0.503,3,0,2,0.56,0.145454545454545,0.474993448,39862,s,y
895,7,1,0.855960566100223,5,0.382,3,0.0389163262171151,2,0.56,0.145454545454545,0.474993448,39862,s,y
896,7,1,0.824235335655829,5,0.483,3,0.0773379198094412,2,0.56,0.145454545454545,0.474993448,39862,s,y
897,7,1,0.763786339027118,5,0.506,3,0.115821443058155,2,0.56,0.145454545454545,0.474993448,39862,s,y
898,7,1,0.716657502844661,5,0.489,3,0.154687640860244,2,0.56,0.145454545454545,0.474993448,39862,s,y
899,7,1,0.616660482376697,5,0.446,2,0.193461842451364,2,0.56,0.145454545454545,0.474993448,39862,s,y
900,7,1,0.506431833823632,5,0.432,2,0.231907333370044,2,0.56,0.145454545454545,0.474993448,39862,s,y
901,7,1,0.421198424522962,5,0.435,2,0.270304384977901,2,0.56,0.145454545454545,0.474993448,39862,s,y
902,7,1,0.33536763075764,5,0.465,2,0.308822062613266,2,0.56,0.145454545454545,0.474993448,39862,s,y
903,7,1,0.300389864599191,5,0.482,1,0.347632794830829,2,0.56,0.145454545454545,0.474993448,39862,s,y
904,7,1,0.22969914624282,5,0.473,1,0.386497268547266,2,0.56,0.145454545454545,0.474993448,39862,s,y
